Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,OrderInfo,BinaryFile,,,,,,,,,
C1,1,0.01u,,,,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,,https://www.digikey.com/en/products/detail/kemet/C315C103M5U5TA/817926,,,,,,,,,,
"C2,C5,C160,C161",4,22p,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,~,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K220K15C0GH53L2/2821650,,,,,,,,,,
"C3,C4",2,0.1u,,,,Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm,~,https://www.digikey.com/en/products/detail/kemet/C320C104M5R5TA/3726028,,,,,,,,,,
"C6,C7,C8,C9,C10,C26,C29,C30,C31,C38,C40,C42,C43,C50,C51,C56,C58,C61,C64,C65,C68,C82,C83,C84,C85,C87,C90,C93,C101,C102,C105,C107,C110,C114,C115,C117,C123,C124,C125,C127,C139,C141,C144,C149,C150,C154,C155,C157,C159,C163",50,4.7u,,,,Project Library:C_Disc_D7.5mm_W2.5mm_P7.62mm,~,https://www.digikey.com/en/products/detail/kyocera-avx/TAP475M010SCS/1472017,,,,,,,,,,
"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C27,C28,C32,C33,C34,C35,C36,C37,C39,C41,C44,C45,C46,C47,C48,C49,C52,C53,C54,C55,C57,C59,C60,C62,C63,C66,C67,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C86,C88,C89,C91,C92,C94,C95,C96,C97,C98,C99,C100,C103,C104,C106,C108,C109,C111,C112,C113,C116,C118,C119,C120,C121,C126,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C140,C142,C143,C145,C146,C147,C148,C151,C152,C153,C156,C158,C162",105,0.1u,,,,Project Library:C_Disc_D7.5mm_W2.5mm_P7.62mm,~,https://www.digikey.com/en/products/detail/kemet/C320C104M5R5TA/3726028,,,,,,,,,,
C122,1,100p,,,,Project Library:C_Disc_D7.5mm_W2.5mm_P7.62mm,~,https://www.digikey.com/en/products/detail/kemet/C320C104M5R5TA/3726028,,,,,,,,,,
J1,1,PCL,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J2,1,PCH,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J3,1,AL,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J4,1,ARL,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J5,1,ARH,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
